CN 2022,SupText,URI,Name
0204,"Meat of sheep or goats, fresh, chilled or frozen",020400000080,"0204 Meat of sheep or goats, fresh, chilled or frozen"
02041000,Fresh or chilled lamb carcases and half-carcases,020410000080,"0204 10 00 - Carcases and half-carcases of lamb, fresh or chilled"
02042100,Fresh or chilled sheep carcases and half-carcases (excl. lambs),020421000080,0204 21 00 -- Carcases and half-carcases
020422,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",020422000080,0204 22 -- Other cuts with bone in
02042210,Fresh or chilled sheep short forequarters,020422100080,0204 22 10 --- Short forequarters
02042230,Fresh or chilled sheep chines and/or best ends,020422300080,0204 22 30 --- Chines and/or best ends
02042250,Fresh or chilled sheep legs,020422500080,0204 22 50 --- Legs
02042290,"Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",020422900080,0204 22 90 --- Other
02042300,Fresh or chilled boneless cuts of sheep,020423000080,0204 23 00 -- Boneless
02043000,Frozen lamb carcases and half-carcases,020430000080,"0204 30 00 - Carcases and half-carcases of lamb, frozen"
02044100,Frozen sheep carcases and half-carcases (excl. lambs),020441000080,0204 41 00 -- Carcases and half-carcases
020442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",020442000080,0204 42 -- Other cuts with bone in
02044210,Frozen sheep short forequarters,020442100080,0204 42 10 --- Short forequarters
02044230,Frozen sheep chines and/or best ends,020442300080,0204 42 30 --- Chines and/or best ends
02044250,Frozen sheep legs,020442500080,0204 42 50 --- Legs
02044290,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",020442900080,0204 42 90 --- Other
020443,Frozen boneless cuts of sheep,020443000080,0204 43 -- Boneless
02044310,"Frozen meat of lambs, boneless, frozen",020443100080,0204 43 10 --- Of lamb
02044390,"Frozen meat of sheep, boneless (excl. lamb)",020443900080,0204 43 90 --- Other
020450,"Fresh, chilled or frozen meat of goats",020450000080,0204 50 - Meat of goats
02045011,Fresh or chilled goat carcases and half-carcases,020450110080,0204 50 11 --- Carcases and half-carcases
02045013,Fresh or chilled goat short forequarters,020450130080,0204 50 13 --- Short forequarters
02045015,Fresh or chilled goat chines and/or best ends,020450150080,0204 50 15 --- Chines and/or best ends
02045019,Fresh or chilled legs of goat,020450190080,0204 50 19 --- Legs
02045031,"Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",020450310080,0204 50 31 ---- Cuts with bone in
02045039,Fresh or chilled boneless cuts of goat,020450390080,0204 50 39 ---- Boneless cuts
02045051,Frozen goat carcases and half-carcases,020450510080,0204 50 51 --- Carcases and half-carcases
02045053,Frozen goat short forequarters,020450530080,0204 50 53 --- Short forequarters
02045055,Frozen goat chines and/or best ends,020450550080,0204 50 55 --- Chines and/or best ends
02045059,Frozen goat legs,020450590080,0204 50 59 --- Legs
02045071,"Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)",020450710080,0204 50 71 ---- Cuts with bone in
02045079,Frozen boneless cuts of goat,020450790080,0204 50 79 ---- Boneless cuts
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",020500000080,"0205 00 Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
02050020,"Fresh or chilled meat of horses, asses, mules or hinnies",020500200080,0205 00 20 - Fresh or chilled
02050080,"Frozen meat of horses, asses, mules or hinnies",020500800080,0205 00 80 - Frozen
0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",020600000080,"0206 Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,Fresh or chilled edible offal of bovine animals,020610000080,"0206 10 - Of bovine animals, fresh or chilled"
02061010,Fresh or chilled edible bovine offal for manufacture of pharmaceutical products,020610100080,0206 10 10 -- For the manufacture of pharmaceutical products
02061095,Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products),020610950080,0206 10 95 --- Thick skirt and thin skirt
02061098,"Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)",020610980080,0206 10 98 --- Other
02062100,Frozen edible bovine tongues,020621000080,0206 21 00 -- Tongues
02062200,Frozen edible bovine livers,020622000080,0206 22 00 -- Livers
020629,Frozen edible bovine offal (excl. tongues and livers),020629000080,0206 29 -- Other
02062910,Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers),020629100080,0206 29 10 --- For the manufacture of pharmaceutical products
02062991,Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products),020629910080,0206 29 91 ---- Thick skirt and thin skirt
02062999,"Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)",020629990080,0206 29 99 ---- Other
02063000,Fresh or chilled edible offal of swine,020630000080,"0206 30 00 - Of swine, fresh or chilled"
02064100,Frozen edible livers of swine,020641000080,0206 41 00 -- Livers
02064900,"Edible offal of swine, frozen (excl. livers)",020649000080,0206 49 00 -- Other
020680,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies",020680000080,"0206 80 - Other, fresh or chilled"
02068010,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products",020680100080,0206 80 10 -- For the manufacture of pharmaceutical products
02068091,"Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)",020680910080,"0206 80 91 --- Of horses, asses, mules and hinnies"
02068099,Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products),020680990080,0206 80 99 --- Of sheep and goats
020690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",020690000080,"0206 90 - Other, frozen"
02069010,"Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products",020690100080,0206 90 10 -- For the manufacture of pharmaceutical products
02069091,"Frozen edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)",020690910080,"0206 90 91 --- Of horses, asses, mules and hinnies"
02069099,Frozen edible offal of sheep and goats (excl. for manufacture of pharmaceutical products),020690990080,0206 90 99 --- Of sheep and goats
0207,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen",020700000080,"0207 Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen"
020711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces",020711000080,"0207 11 -- Not cut in pieces, fresh or chilled"
02071110,"Fresh or chilled, plucked and gutted fowls of species Gallus domesticus, with heads and feet, known as ""83% chickens""",020711100080,"0207 11 10 --- Plucked and gutted, with heads and feet, known as ‘83 % chickens’"
