CN 2021,SITC Rev. 4,START,END
03021100,03412,01/01/1988,31/12/1995
03021110,03412,01/01/1996,31/12/2500
03021120,03412,01/01/2003,31/12/2500
03021180,03412,01/01/2003,31/12/2500
03021190,03412,01/01/1996,31/12/2002
03021200,03412,01/01/1988,31/12/2011
03021300,03412,01/01/2012,31/12/2500
03021400,03412,01/01/2012,31/12/2500
03021900,03412,01/01/1996,31/12/2500
03022110,03413,01/01/1988,31/12/2500
03022130,03413,01/01/1988,31/12/2500
03022190,03413,01/01/1988,31/12/2500
03022200,03413,01/01/1988,31/12/2500
03022300,03413,01/01/1988,31/12/2500
03022400,03413,01/01/2012,31/12/2500
03022900,03413,01/01/1988,31/12/1989
03022910,03413,01/01/1990,31/12/2500
03022980,03413,01/01/2012,31/12/2500
03022990,03413,01/01/1990,31/12/2011
03023110,03414,01/01/1988,31/12/2500
03023190,03414,01/01/1988,31/12/2500
03023210,03414,01/01/1988,31/12/2500
03023290,03414,01/01/1988,31/12/2500
03023310,03414,01/01/1988,31/12/2500
03023390,03414,01/01/1988,31/12/2500
03023410,03414,01/01/2002,31/12/2500
03023490,03414,01/01/2002,31/12/2500
03023510,03414,01/01/2002,31/12/2011
03023511,03414,01/01/2012,31/12/2500
03023519,03414,01/01/2012,31/12/2500
03023590,03414,01/01/2002,31/12/2011
03023591,03414,01/01/2012,31/12/2500
03023599,03414,01/01/2012,31/12/2500
03023610,03414,01/01/2002,31/12/2500
03023690,03414,01/01/2002,31/12/2500
03023910,03414,01/01/2002,31/12/2011
03023911,03414,01/01/1994,31/12/2001
03023919,03414,01/01/1994,31/12/2001
03023920,03414,01/01/2012,31/12/2500
03023980,03414,01/01/2012,31/12/2500
03023990,03414,01/01/2002,31/12/2011
03023991,03414,01/01/1994,31/12/2001
03023999,03414,01/01/1994,31/12/2001
03024000,03415,01/01/2000,31/12/2011
03024005,03415,01/01/1996,31/12/1999
03024010,03415,01/01/1988,31/12/1999
03024090,03415,01/01/1988,31/12/1995
03024098,03415,01/01/1996,31/12/1999
03024100,03415,01/01/2012,31/12/2500
03024200,03418,01/01/2012,31/12/2500
03024310,03415,01/01/2012,31/12/2500
03024330,03415,01/01/2012,31/12/2500
03024390,03415,01/01/2012,31/12/2500
03024400,03417,01/01/2012,31/12/2500
03024510,03418,01/01/2012,31/12/2500
03024530,03418,01/01/2012,31/12/2500
03024590,03418,01/01/2012,31/12/2500
03024600,03418,01/01/2012,31/12/2500
03024700,03418,01/01/2012,31/12/2500
03024911,03418,01/01/2017,31/12/2500
03024919,03418,01/01/2017,31/12/2500
