"NACE Rev. 2 Code","Level","Superior"
"A",1,NA
"B",1,NA
"C",1,NA
"D",1,NA
"E",1,NA
"F",1,NA
"G",1,NA
"H",1,NA
"I",1,NA
"J",1,NA
"K",1,NA
"L",1,NA
"M",1,NA
"N",1,NA
"O",1,NA
"P",1,NA
"Q",1,NA
"R",1,NA
"S",1,NA
"T",1,NA
"U",1,NA
"77.32",4,"77.3"
"77.33",4,"77.3"
"77.34",4,"77.3"
"77.35",4,"77.3"
"77.39",4,"77.3"
"77.40",4,"77.4"
"78.10",4,"78.1"
"78.20",4,"78.2"
"78.30",4,"78.3"
"79.11",4,"79.1"
"79.12",4,"79.1"
"79.90",4,"79.9"
"80.10",4,"80.1"
"80.20",4,"80.2"
"80.30",4,"80.3"
"81.10",4,"81.1"
"81.21",4,"81.2"
"81.22",4,"81.2"
"81.29",4,"81.2"
"81.30",4,"81.3"
"82.11",4,"82.1"
"82.19",4,"82.1"
"82.20",4,"82.2"
"82.30",4,"82.3"
"82.91",4,"82.9"
"82.92",4,"82.9"
"82.99",4,"82.9"
"84.11",4,"84.1"
"84.12",4,"84.1"
"84.13",4,"84.1"
"84.21",4,"84.2"
"84.22",4,"84.2"
"84.23",4,"84.2"
"84.24",4,"84.2"
"84.25",4,"84.2"
"84.30",4,"84.3"
"85.10",4,"85.1"
"85.20",4,"85.2"
"85.31",4,"85.3"
"85.32",4,"85.3"
"85.41",4,"85.4"
"85.42",4,"85.4"
"85.51",4,"85.5"
"85.52",4,"85.5"
"85.53",4,"85.5"
"85.59",4,"85.5"
"85.60",4,"85.6"
"86.10",4,"86.1"
"86.21",4,"86.2"
"86.22",4,"86.2"
"86.23",4,"86.2"
"86.90",4,"86.9"
"87.10",4,"87.1"
"87.20",4,"87.2"
"87.30",4,"87.3"
"87.90",4,"87.9"
"88.10",4,"88.1"
"88.91",4,"88.9"
"88.99",4,"88.9"
"90.01",4,"90.0"
"90.02",4,"90.0"
"90.03",4,"90.0"
"90.04",4,"90.0"
"91.01",4,"91.0"
"91.02",4,"91.0"
"91.03",4,"91.0"
"91.04",4,"91.0"
"92.00",4,"92.0"
"93.11",4,"93.1"
"93.12",4,"93.1"
"93.13",4,"93.1"
"93.19",4,"93.1"
"93.21",4,"93.2"
"93.29",4,"93.2"
"94.11",4,"94.1"
"94.12",4,"94.1"
"94.20",4,"94.2"
"94.91",4,"94.9"
"94.92",4,"94.9"
"94.99",4,"94.9"
"95.11",4,"95.1"
"95.12",4,"95.1"
"95.21",4,"95.2"
"95.22",4,"95.2"
"95.23",4,"95.2"
"95.24",4,"95.2"
"95.25",4,"95.2"
"95.29",4,"95.2"
"96.01",4,"96.0"
"96.02",4,"96.0"
"96.03",4,"96.0"
"96.04",4,"96.0"
"96.09",4,"96.0"
"97.00",4,"97.0"
"98.10",4,"98.1"
"98.20",4,"98.2"
"99.00",4,"99.0"
